Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2019,3,9,5,269,300,228,353,DL,6806,TN789,51,271,186,0,11,LAX,ORD,2968,20,4,0,None,0,0,0,0,0,0
2018,10,2,1,148,287,1829,1107,NK,7499,TN456,398,392,118,30,11,DFW,ATL,333,7,30,0,None,0,4,20,13,9,4
2020,2,27,4,810,785,1329,2113,B6,5040,TN123,256,273,390,0,6,LAX,LAX,2261,14,3,0,None,0,0,0,0,0,0
2021,11,7,7,27,2316,1932,1914,NK,9040,TN456,111,196,431,8,16,ATL,DFW,2198,9,7,0,None,0,15,0,15,0,0
2021,7,17,5,2327,1265,118,1109,B6,2944,TN321,193,295,247,0,5,DFW,ORD,1341,25,58,0,None,0,0,0,0,0,0
2022,9,16,5,1205,1805,920,83,F9,8068,TN321,406,80,433,0,0,SFO,SFO,473,11,16,0,None,0,0,0,0,0,0
2019,1,17,5,165,1819,2206,1977,UA,8361,TN123,32,138,333,0,1,LAX,ATL,289,14,21,0,None,0,0,0,0,0,0
2020,4,20,3,2064,70,2286,226,AA,6701,TN321,201,427,345,7,1,ORD,SFO,1869,0,37,0,None,0,10,0,15,0,0
2022,6,26,7,1173,834,319,1012,F9,985,TN321,147,364,81,15,2,ORD,ORD,2184,7,23,0,None,0,18,16,16,0,0
2020,7,23,3,338,611,2356,19,UA,1108,TN123,173,163,148,28,0,DFW,SFO,2592,21,30,0,None,0,18,23,7,3,19
2019,10,2,5,1068,1416,2296,1466,NK,8299,TN789,281,196,269,5,0,JFK,DFW,796,29,48,0,None,0,2,0,0,0,0
2021,7,11,6,841,1328,700,269,DL,7433,TN321,424,109,428,44,12,LAX,SFO,272,22,51,0,None,0,14,14,2,0,20
2018,10,2,4,188,190,1017,1531,UA,4343,TN456,295,367,442,0,3,ATL,ATL,1211,19,48,0,None,0,0,0,0,0,0
2021,2,1,1,650,1747,405,303,F9,1554,TN321,464,128,158,20,0,SFO,JFK,737,14,45,0,None,0,15,3,20,3,0
2022,4,26,7,293,2125,1204,1308,AA,2003,TN789,199,461,249,32,11,JFK,LAX,1377,14,24,0,None,0,12,20,21,1,36
2018,5,2,6,1857,1581,2068,809,NK,8105,TN789,242,182,78,0,0,JFK,SFO,485,27,37,0,None,0,0,0,0,0,0
2022,12,23,2,1322,1628,1698,1052,DL,498,TN789,310,405,184,16,31,DFW,ATL,2626,10,54,0,None,0,12,5,21,2,0
2019,1,9,3,1647,888,1606,1932,DL,4950,TN789,256,318,223,0,0,ATL,ORD,2952,21,31,0,None,0,0,0,0,0,0
2018,1,22,4,802,16,154,2040,AA,1422,TN789,405,112,432,28,31,LAX,ORD,2432,25,48,0,None,0,3,10,12,4,1
2022,10,26,4,430,814,1851,908,WN,3475,TN321,291,131,117,0,9,ORD,SFO,1956,15,25,0,None,0,0,0,0,0,0
2019,3,2,2,1518,1597,866,141,UA,5981,TN321,395,360,357,36,0,LAX,ORD,847,9,35,0,None,0,12,8,11,8,28
2021,10,28,2,486,1066,558,1679,F9,4374,TN321,284,405,265,4,0,JFK,JFK,305,3,26,0,None,0,2,0,0,0,0
2019,3,15,7,88,2259,193,808,DL,8734,TN321,457,260,156,24,11,ATL,ORD,474,27,22,0,None,0,9,20,14,3,26
2020,12,10,4,270,2250,2327,947,F9,7311,TN789,37,480,65,0,0,ORD,SFO,1035,9,19,1,B,0,0,0,0,0,0
2019,8,15,2,1956,2025,1033,2292,UA,8981,TN789,447,281,223,68,0,DFW,ORD,212,25,45,0,None,0,7,0,5,6,39
2019,9,10,4,1772,108,1399,765,NK,8548,TN456,70,387,412,9,0,SFO,JFK,878,17,26,0,None,0,0,0,9,0,0
2020,11,25,6,899,283,2199,919,AA,5644,TN321,395,350,212,52,2,ORD,DEN,375,16,52,0,None,0,18,8,7,5,12
2022,12,23,7,1744,1960,2031,938,B6,9419,TN789,286,453,346,5,4,JFK,ATL,514,15,16,0,None,0,7,0,0,0,0
2022,1,27,2,277,1629,801,2313,AA,8442,TN456,160,54,378,0,21,JFK,ATL,1512,19,13,0,None,0,0,0,0,0,0
2019,11,17,6,2000,736,552,1262,UA,6179,TN456,81,86,61,18,0,DFW,ATL,2499,27,2,0,None,0,11,22,6,1,0
2020,2,28,6,2253,1141,1447,2297,DL,532,TN123,131,445,181,29,11,JFK,ATL,2136,6,39,0,None,0,3,12,23,8,18
2020,10,9,2,1633,931,1546,954,NK,8751,TN321,248,331,243,23,0,SFO,DFW,2840,23,26,0,None,0,4,27,14,3,4
2021,2,18,7,861,602,729,1314,UA,1620,TN789,273,129,273,16,0,SFO,SFO,967,18,44,0,None,0,19,25,22,9,0
2022,4,4,4,605,1363,1012,542,NK,1292,TN321,362,417,303,6,0,DFW,ORD,2324,18,59,0,None,0,0,0,4,0,0
2018,2,9,5,1061,1824,170,1102,B6,3125,TN456,456,148,237,22,0,ORD,DEN,2557,4,13,0,None,0,14,13,8,3,18
2022,7,16,4,1013,490,849,143,DL,4881,TN321,332,180,119,13,3,ORD,JFK,1231,9,27,0,None,0,0,13,19,0,0
2022,9,4,1,1506,2066,793,1199,NK,4114,TN123,399,109,80,2,0,JFK,DFW,2183,25,43,0,None,0,2,0,0,0,0
2021,7,16,2,707,1198,1588,2117,B6,9320,TN123,368,360,59,2,0,ATL,SFO,2554,22,24,0,None,0,15,0,0,0,0
2018,12,19,3,977,1641,124,2227,NK,3912,TN789,304,179,201,34,0,ORD,ATL,2497,28,39,0,None,0,10,29,24,5,19
2021,6,1,7,1817,800,174,592,WN,7160,TN789,99,388,78,0,3,DEN,JFK,2462,3,10,0,None,0,0,0,0,0,0
2018,10,23,2,805,759,1800,566,F9,1108,TN789,76,155,448,22,23,ORD,ATL,1914,6,59,0,None,0,7,19,16,7,20
2019,1,6,1,1533,1165,105,690,AA,5428,TN789,146,318,242,20,12,ATL,JFK,2426,17,51,0,None,0,10,3,18,1,0
2018,11,10,6,719,1486,1970,1133,WN,5271,TN321,107,70,227,49,0,DEN,DEN,1038,10,11,0,None,0,6,28,10,6,13
2021,10,16,3,948,2345,1660,664,UA,6497,TN321,34,219,442,0,25,DEN,SFO,711,0,57,0,None,0,0,0,0,0,0
2022,9,4,3,473,1493,37,1982,WN,1688,TN456,283,451,189,0,39,LAX,ATL,2940,21,32,0,None,0,0,0,0,0,0
2018,5,22,4,567,704,394,405,AA,5988,TN456,349,469,158,0,2,DEN,ATL,439,3,19,1,C,0,0,0,0,0,0
2018,11,22,5,2258,814,920,985,DL,4472,TN789,136,92,222,0,1,JFK,ATL,1183,15,53,0,None,0,0,0,0,0,0
2020,5,13,4,1081,802,1490,1416,F9,5682,TN321,273,234,273,24,15,DFW,ATL,201,22,33,0,None,0,3,24,12,9,39
2022,6,16,7,214,372,721,516,B6,3476,TN789,202,370,185,0,12,ATL,DFW,1796,0,22,0,None,0,0,0,0,0,0
2019,9,20,3,899,1491,2030,849,NK,2578,TN456,477,233,76,0,0,LAX,DFW,260,0,18,0,None,1,0,0,0,0,0
2021,8,6,3,1801,1461,1308,1901,DL,2533,TN321,458,468,142,0,0,SFO,DFW,2962,20,55,0,None,0,0,0,0,0,0
2019,8,26,5,1982,2189,2029,907,F9,4218,TN789,65,208,415,0,0,ORD,ATL,2692,16,35,0,None,0,0,0,0,0,0
2022,8,11,7,1096,822,1703,315,WN,6938,TN123,422,375,445,32,21,DEN,LAX,1275,1,56,0,None,0,16,22,14,1,36
2018,1,24,2,1294,221,1633,1285,UA,2030,TN456,436,350,156,16,0,JFK,DFW,1474,28,43,0,None,0,9,26,9,0,0
2018,1,3,5,1257,1387,1452,1507,WN,9336,TN123,445,134,425,0,2,SFO,SFO,969,2,0,0,None,0,0,0,0,0,0
2022,8,20,6,183,993,364,26,AA,5959,TN123,202,342,441,0,17,LAX,ORD,2964,16,9,0,None,0,0,0,0,0,0
2018,5,10,4,673,1211,2228,1518,AA,5419,TN321,441,115,269,15,21,DFW,ORD,1850,23,0,0,None,0,18,22,5,0,0
2018,9,28,2,1681,2160,733,54,UA,6191,TN123,209,440,76,0,0,LAX,LAX,1921,1,4,1,C,0,0,0,0,0,0
2018,2,1,4,434,1204,243,1934,F9,7765,TN123,296,470,86,0,0,DFW,DEN,565,1,56,0,None,1,0,0,0,0,0
2021,9,20,5,1066,1925,312,1855,DL,9940,TN789,284,468,250,0,8,SFO,ORD,1181,7,21,0,None,0,0,0,0,0,0
2021,12,11,2,1336,597,75,248,NK,4820,TN321,432,357,263,27,4,LAX,JFK,452,6,42,0,None,0,2,5,8,4,25
2020,8,26,5,2340,484,2309,2320,NK,5920,TN789,349,280,305,0,14,JFK,DEN,1054,18,1,1,B,0,0,0,0,0,0
2019,9,26,6,687,1666,230,1801,AA,8410,TN789,350,367,140,0,0,LAX,ORD,1756,28,8,0,None,0,0,0,0,0,0
2022,4,12,1,887,2050,1411,2238,AA,2811,TN789,102,33,429,0,0,ORD,JFK,1267,28,43,0,None,0,0,0,0,0,0
2022,1,14,3,68,1501,1348,856,UA,3416,TN321,86,350,73,0,6,JFK,LAX,755,20,6,0,None,0,0,0,0,0,0
2022,1,25,7,2103,661,841,1469,DL,5953,TN456,95,213,307,23,0,ORD,DFW,1418,18,47,0,None,0,1,15,3,0,33
2020,5,8,2,419,2114,1479,1876,WN,5434,TN321,161,210,297,5,10,JFK,SFO,2705,10,20,0,None,0,17,0,0,0,0
2021,2,11,3,242,1554,515,1525,B6,1717,TN789,442,329,411,1,21,JFK,DEN,2569,10,6,0,None,0,4,0,0,0,0
2020,8,4,1,1497,2019,1572,1416,UA,7898,TN456,289,45,384,0,0,SFO,JFK,1274,20,58,0,None,0,0,0,0,0,0
2022,10,28,2,1679,1341,2309,1794,DL,290,TN123,153,123,85,0,14,ORD,JFK,125,24,8,0,None,0,0,0,0,0,0
2019,11,7,3,2124,2145,818,108,B6,4698,TN456,414,308,289,15,1,JFK,DEN,1940,18,55,0,None,0,18,1,24,0,0
2018,5,10,3,2008,1080,607,980,NK,610,TN321,121,444,408,0,0,LAX,LAX,692,10,39,0,None,1,0,0,0,0,0
2021,5,19,2,1501,87,522,2273,UA,2354,TN789,303,185,32,0,0,DEN,DEN,1737,12,8,0,None,0,0,0,0,0,0
2021,2,25,3,439,51,1801,352,WN,7646,TN123,170,463,362,12,16,LAX,ORD,2768,2,58,0,None,0,16,27,11,0,0
2020,7,26,3,1286,1747,1212,1427,WN,536,TN123,261,386,143,17,0,ORD,DFW,379,0,50,0,None,0,13,14,19,3,0
2021,8,4,2,1208,40,1036,1730,DL,3292,TN789,99,45,96,18,0,LAX,ATL,2786,4,48,0,None,0,0,0,23,4,0
2022,10,2,7,1078,2138,161,2192,DL,3758,TN123,462,70,358,0,18,DEN,LAX,2766,2,11,0,None,0,0,0,0,0,0
2022,1,26,3,1331,38,1516,1777,WN,8949,TN123,204,166,43,2,14,JFK,DEN,1293,2,43,0,None,0,2,0,0,0,0
2020,2,21,3,1253,2151,2052,1116,WN,7158,TN123,388,287,54,15,0,DFW,DEN,2686,11,35,0,None,0,6,5,1,0,0
2022,10,18,7,614,2090,2031,2320,UA,3850,TN321,115,395,343,0,30,ATL,DEN,229,3,8,0,None,0,0,0,0,0,0
2019,4,14,4,419,208,201,533,F9,8070,TN456,282,72,429,8,16,ORD,DEN,1751,17,9,0,None,0,1,0,22,0,0
2020,5,26,6,1900,599,1035,1217,NK,8546,TN321,59,95,93,19,26,SFO,LAX,1259,17,48,0,None,0,4,26,5,4,0
2019,2,16,4,275,604,947,2228,F9,4831,TN123,184,381,441,0,29,LAX,ORD,2994,23,9,0,None,0,0,0,0,0,0
2018,1,22,1,1584,1709,1420,1255,DL,4331,TN321,229,237,309,0,0,DEN,ORD,480,18,43,0,None,0,0,0,0,0,0
2019,9,11,4,1766,2156,1364,1979,B6,8498,TN123,392,274,309,33,0,ORD,DFW,780,3,16,0,None,0,18,18,21,4,13
2018,1,10,4,1712,213,751,2076,WN,5230,TN321,185,272,38,0,0,JFK,DFW,2288,1,37,0,None,0,0,0,0,0,0
2018,4,17,1,2137,1627,949,531,B6,2996,TN456,274,106,278,4,25,ORD,ATL,190,4,3,0,None,0,13,0,0,0,0
2019,2,14,3,2329,1716,1248,1944,DL,6971,TN789,415,462,135,11,0,DFW,ORD,2809,11,15,0,None,0,5,0,7,0,0
2020,11,22,3,1194,1576,1205,139,NK,2215,TN456,49,248,311,0,7,JFK,JFK,2194,24,48,0,None,0,0,0,0,0,0
2022,4,4,4,810,2124,1320,2145,DL,9402,TN321,232,410,279,0,0,ATL,LAX,402,8,47,0,None,0,0,0,0,0,0
2022,8,19,1,1378,2142,1330,261,AA,276,TN321,363,252,397,10,1,LAX,ORD,676,23,35,0,None,0,8,0,1,0,0
2018,8,2,3,1312,268,430,18,WN,6154,TN456,181,382,173,0,2,SFO,ORD,296,24,26,0,None,0,0,0,0,0,0
2018,11,7,5,749,682,2165,2059,NK,6554,TN321,106,50,222,18,29,LAX,DFW,512,24,5,1,D,0,6,9,16,5,0
2020,12,9,2,1196,161,587,1548,F9,8339,TN789,357,176,150,2,12,ORD,JFK,434,11,39,0,None,0,10,0,0,0,0
2021,9,28,2,300,464,2274,1488,F9,3549,TN789,201,397,147,47,47,DEN,DEN,1497,12,8,0,None,0,4,7,21,7,12
2019,11,19,6,599,822,1263,2306,DL,6973,TN456,434,342,284,7,6,ORD,DEN,897,24,57,0,None,0,10,0,13,0,0
2018,12,16,2,528,2004,140,2071,DL,852,TN123,435,106,321,0,7,DFW,JFK,2909,12,59,0,None,0,0,0,0,0,0
2022,5,22,4,2187,2099,203,1031,WN,4524,TN789,358,345,289,20,0,SFO,ORD,2449,25,31,0,None,0,19,4,0,0,0
2020,7,25,2,277,487,1003,227,AA,8680,TN321,279,432,22,26,0,ATL,ORD,1385,17,37,0,None,0,0,19,7,2,23
2019,3,16,2,662,2139,1665,375,AA,1554,TN123,215,384,277,0,0,DFW,ORD,2711,18,29,0,None,0,0,0,0,0,0
2020,10,18,5,1369,650,860,1146,AA,1762,TN789,391,477,361,13,2,DEN,ORD,2873,19,13,0,None,0,0,25,7,0,0
2019,4,23,3,2161,1755,844,1113,AA,8776,TN123,157,64,436,11,0,LAX,SFO,2826,0,44,0,None,0,4,14,16,0,0
2019,10,21,5,579,1634,1938,2271,NK,6800,TN321,392,155,119,24,0,DEN,DFW,2177,28,49,0,None,0,9,26,12,3,13
2018,9,21,4,1530,1771,136,735,UA,4311,TN456,40,446,413,0,0,DFW,ORD,1683,28,28,0,None,0,0,0,0,0,0
2020,10,11,2,1389,718,1651,256,WN,4606,TN456,365,352,386,19,0,SFO,SFO,820,21,27,0,None,0,0,11,20,0,0
2020,10,7,7,690,1167,1690,832,WN,8703,TN321,271,498,72,13,3,LAX,ORD,2782,11,21,0,None,0,3,24,5,0,0
2022,12,9,3,636,198,2220,1806,WN,7757,TN456,210,261,447,0,0,ATL,ATL,250,1,30,0,None,0,0,0,0,0,0
2022,1,4,6,1848,1346,1153,700,NK,3814,TN321,294,116,185,58,30,ORD,ATL,1813,3,16,0,None,0,6,0,11,2,15
2018,2,25,6,2045,1822,78,910,F9,5892,TN456,224,333,168,0,23,ATL,SFO,2257,4,16,0,None,0,0,0,0,0,0
2018,5,13,2,822,1355,978,698,NK,6889,TN789,275,217,182,0,37,ORD,ORD,1869,19,48,0,None,0,0,0,0,0,0
2021,3,27,2,1873,2264,568,437,AA,6195,TN456,129,74,102,0,0,ATL,DEN,1161,21,53,0,None,0,0,0,0,0,0
2022,2,26,6,874,1724,2104,1723,AA,8148,TN123,81,360,41,11,0,JFK,LAX,2954,25,14,0,None,0,18,25,13,0,0
2019,1,25,6,939,802,133,2084,F9,3203,TN456,400,353,39,39,34,LAX,ATL,1575,9,46,0,None,0,1,18,2,2,10
2020,10,4,7,1682,700,2061,1684,NK,343,TN456,426,481,375,33,29,LAX,ORD,502,21,31,0,None,0,8,29,11,5,18
2018,3,19,4,941,502,282,2153,F9,7746,TN456,414,428,230,0,0,SFO,ATL,2839,24,27,0,None,0,0,0,0,0,0
2020,1,2,2,1898,468,126,614,DL,1424,TN456,457,377,385,36,0,LAX,ORD,524,24,10,0,None,0,17,16,2,9,8
2020,12,9,6,2050,2009,2026,1942,UA,8338,TN789,104,101,343,0,30,JFK,DEN,2269,29,38,0,None,0,0,0,0,0,0
2021,1,12,7,1746,1974,1795,1912,F9,4558,TN321,437,245,371,0,0,JFK,DEN,191,0,16,0,None,0,0,0,0,0,0
2022,12,2,1,24,1729,1849,2279,WN,9108,TN789,162,127,27,7,12,ORD,ATL,2174,9,11,0,None,0,8,0,16,0,0
2018,1,6,6,1866,1936,217,1040,UA,6648,TN789,285,300,326,0,12,JFK,SFO,1506,14,50,0,None,0,0,0,0,0,0
2020,8,5,3,60,623,744,1182,NK,1912,TN123,479,436,173,0,0,LAX,JFK,118,7,50,0,None,0,0,0,0,0,0
2018,3,5,3,122,966,259,959,F9,1340,TN321,238,473,70,0,0,DEN,SFO,2483,20,38,0,None,0,0,0,0,0,0
2019,11,20,1,1520,662,1241,1839,WN,2247,TN321,494,120,265,11,19,ORD,LAX,488,16,51,0,None,1,13,10,16,0,0
2021,1,22,4,2102,750,1843,1305,AA,6447,TN123,433,171,173,29,0,LAX,LAX,192,11,8,0,None,0,8,20,21,5,12
2019,7,5,2,1186,1872,1681,277,NK,2952,TN321,477,146,265,7,0,LAX,LAX,2409,4,24,0,None,0,6,0,9,0,0
2018,10,27,2,1722,1418,1512,124,AA,498,TN456,172,31,322,3,3,JFK,JFK,140,5,25,0,None,0,12,0,0,0,0
2018,3,4,6,1062,1098,1466,1343,WN,791,TN321,97,410,62,17,0,ATL,LAX,1817,15,3,0,None,0,13,25,8,2,0
2022,8,9,3,1106,382,98,674,B6,8202,TN123,83,72,412,30,8,DEN,DFW,851,6,18,0,None,0,0,7,7,5,8
2020,4,22,4,1730,1393,181,714,NK,3099,TN123,296,100,182,7,25,DEN,JFK,2195,18,12,0,None,0,12,0,18,0,0
2020,4,27,4,545,2356,2216,2010,AA,8185,TN123,436,173,166,1,18,JFK,SFO,704,8,28,0,None,0,1,0,0,0,0
2019,5,10,4,2160,1652,2280,1505,DL,2817,TN123,414,371,355,17,28,ORD,ORD,2403,18,53,0,None,0,6,24,14,0,0
2021,6,16,6,2277,175,955,1347,F9,327,TN789,455,275,175,0,14,SFO,DEN,644,16,46,0,None,0,0,0,0,0,0
2020,7,10,2,1310,227,1116,912,AA,883,TN321,271,313,22,0,0,DEN,LAX,2366,28,8,0,None,0,0,0,0,0,0
2022,4,10,4,154,2038,471,1989,DL,1672,TN789,76,445,165,17,0,LAX,DFW,1542,18,41,0,None,0,12,26,17,3,0
2019,8,19,6,2212,1365,1539,772,UA,5003,TN123,144,356,288,0,0,ORD,SFO,2249,22,39,0,None,0,0,0,0,0,0
2019,6,10,6,1262,1985,1108,2233,NK,8930,TN123,225,243,430,0,13,JFK,ORD,2123,9,6,0,None,0,0,0,0,0,0
2022,1,6,1,1362,1262,678,1080,AA,2175,TN789,323,136,263,0,14,DFW,SFO,2449,16,6,0,None,0,0,0,0,0,0
2021,1,17,5,937,1635,1542,1752,F9,5236,TN456,159,415,315,0,0,ATL,SFO,1113,13,20,0,None,0,0,0,0,0,0
2022,9,5,4,511,1020,380,1000,AA,924,TN321,74,485,314,0,0,ATL,DFW,2575,13,8,0,None,0,0,0,0,0,0
2021,10,26,5,931,1711,1255,1737,F9,4267,TN789,184,292,333,33,13,DFW,ATL,234,19,49,0,None,0,2,10,12,9,23
2022,6,6,2,2313,349,2298,73,UA,8113,TN321,490,323,76,40,0,JFK,SFO,2026,22,44,0,None,0,16,25,6,1,23
2022,10,27,6,186,440,2240,1108,F9,2825,TN123,346,205,299,1,29,ORD,ATL,2724,14,26,0,None,0,9,0,0,0,0
2018,8,24,7,1845,1611,1658,1037,DL,5108,TN123,111,498,138,15,7,SFO,LAX,415,26,47,0,None,0,10,9,17,0,0
2019,7,27,4,1702,1384,1580,1664,B6,6870,TN123,296,136,41,0,14,DFW,ATL,467,29,20,0,None,0,0,0,0,0,0
2022,12,15,7,390,287,764,911,NK,5721,TN321,482,115,70,7,1,DEN,ORD,338,27,4,0,None,0,17,0,1,0,0
2022,6,25,3,1283,2055,990,793,F9,9346,TN321,186,256,231,0,9,LAX,LAX,796,18,4,0,None,0,0,0,0,0,0
2020,4,27,2,654,2134,1586,2096,NK,2071,TN789,54,111,235,0,0,DFW,DFW,2176,6,7,1,B,0,0,0,0,0,0
2019,7,19,1,1739,997,2112,358,F9,7347,TN123,363,358,95,27,2,DFW,DEN,304,15,14,0,None,0,18,3,2,1,34
2020,9,18,1,175,2333,2269,2289,NK,6545,TN789,211,270,223,8,0,DEN,DEN,1623,28,12,0,None,0,15,0,8,0,0
2019,11,4,5,763,1422,465,1857,DL,4601,TN456,461,31,185,18,40,ORD,DEN,2379,19,32,0,None,0,9,11,12,8,0
2020,10,8,6,930,73,2119,1076,NK,921,TN123,203,280,402,0,5,LAX,ORD,1007,22,43,0,None,0,0,0,0,0,0
2022,10,27,5,1223,1462,887,1800,WN,6092,TN123,326,71,80,0,0,LAX,LAX,2769,8,58,0,None,0,0,0,0,0,0
2022,7,16,3,710,2205,18,1575,WN,3483,TN456,70,455,324,0,8,ATL,ATL,691,25,46,0,None,0,0,0,0,0,0
2018,1,24,3,1085,429,783,1719,WN,6473,TN789,474,110,298,23,7,LAX,SFO,1821,20,31,0,None,0,11,25,10,7,11
2020,10,19,1,1350,1471,1706,1668,F9,1444,TN321,386,433,279,0,3,LAX,LAX,1969,18,35,0,None,0,0,0,0,0,0
2021,9,20,7,1929,845,414,2103,UA,2802,TN123,424,291,95,17,13,LAX,DFW,435,16,48,0,None,0,3,14,4,0,0
2018,4,3,4,280,1730,363,878,DL,1776,TN321,457,424,228,0,11,LAX,DEN,2537,18,52,0,None,0,0,0,0,0,0
2020,3,10,1,1963,35,1103,2302,F9,8221,TN123,317,226,56,6,4,DEN,LAX,2199,19,22,0,None,0,0,0,3,0,0
2020,4,2,1,1785,1113,795,4,NK,2293,TN123,78,277,112,5,25,JFK,SFO,1494,11,33,0,None,0,15,0,0,0,0
2018,4,4,7,2274,1020,1213,1604,AA,3704,TN321,291,359,153,0,0,SFO,JFK,2684,1,17,0,None,0,0,0,0,0,0
2022,10,6,7,1081,1438,1171,1075,F9,826,TN123,273,325,258,10,0,ATL,LAX,267,3,11,0,None,0,8,0,12,0,0
2020,11,11,3,476,1997,1698,328,WN,7712,TN456,86,413,431,35,0,JFK,JFK,450,20,22,0,None,0,12,1,13,8,17
2022,2,14,7,715,1319,442,2145,DL,3742,TN789,35,65,155,0,2,DFW,ATL,2662,7,1,0,None,0,0,0,0,0,0
2018,12,16,5,242,618,2312,1002,AA,8331,TN456,76,132,242,0,0,ATL,DFW,752,10,43,0,None,0,0,0,0,0,0
2022,1,27,3,935,169,649,782,DL,4453,TN789,92,464,167,19,0,ORD,DEN,2147,10,26,0,None,0,6,12,9,0,0
2019,12,21,7,1523,145,508,576,UA,2260,TN456,462,332,419,0,21,JFK,ATL,2579,28,49,0,None,0,0,0,0,0,0
2021,10,19,6,837,867,465,326,WN,1163,TN456,435,127,416,0,0,JFK,DEN,1074,27,30,0,None,0,0,0,0,0,0
2020,12,2,3,1345,419,1422,2290,B6,3440,TN789,96,174,271,0,10,DFW,ATL,927,11,47,0,None,0,0,0,0,0,0
2021,1,25,3,2028,1995,1839,1527,F9,2534,TN123,432,311,98,17,0,ATL,ATL,101,4,21,0,None,0,13,11,8,4,0
2022,8,17,1,1432,1713,1503,1465,NK,5613,TN321,212,466,263,14,8,ATL,DEN,1065,17,4,0,None,0,11,3,19,0,0
2020,2,9,4,239,572,1626,2281,WN,9552,TN321,191,156,337,0,22,ATL,DFW,2002,14,16,0,None,0,0,0,0,0,0
2022,12,17,1,138,1959,1114,651,WN,7931,TN321,326,333,386,0,0,ATL,ORD,2694,16,42,0,None,0,0,0,0,0,0
2019,10,15,2,419,1026,722,494,UA,2226,TN123,134,312,139,58,0,ATL,ORD,918,8,6,0,None,0,15,2,8,9,33
2018,5,7,3,1584,1286,841,1138,AA,3673,TN456,292,331,328,8,0,JFK,LAX,2255,3,17,0,None,0,14,0,21,0,0
2020,12,22,7,303,320,2347,1356,WN,2161,TN456,86,96,141,21,0,ATL,LAX,724,13,1,0,None,0,3,6,8,3,36
2019,4,23,7,2162,1599,2221,1153,AA,8475,TN456,45,408,231,14,16,DEN,SFO,2203,8,30,0,None,0,7,1,8,0,0
2019,8,19,7,1274,2293,645,2142,AA,9332,TN123,88,176,303,35,30,DEN,DFW,139,8,27,0,None,0,5,10,15,2,6
2020,2,3,3,2026,1612,23,1124,UA,1798,TN789,195,357,273,0,16,SFO,ORD,604,29,2,0,None,0,0,0,0,0,0
2022,10,27,7,6,476,730,1219,WN,9383,TN123,422,110,37,12,0,DFW,LAX,1072,16,8,0,None,0,7,27,21,0,0
2019,9,1,2,2226,1826,6,801,F9,1245,TN321,279,282,282,0,0,LAX,ORD,798,11,32,0,None,0,0,0,0,0,0
2021,7,4,3,1168,782,1620,2042,UA,7070,TN456,490,271,296,0,25,ATL,ORD,111,6,27,0,None,0,0,0,0,0,0
2019,7,28,7,415,532,1271,207,UA,7894,TN123,63,94,60,31,0,JFK,ORD,1907,26,59,0,None,0,3,24,19,6,19
2022,1,18,3,1144,1362,165,472,B6,4409,TN123,75,100,442,0,8,LAX,LAX,334,11,27,0,None,0,0,0,0,0,0
2022,12,26,6,1147,1947,427,1638,F9,1931,TN123,450,65,383,14,20,DEN,LAX,1420,11,55,0,None,0,1,21,16,0,0
2021,2,8,3,149,2284,2192,1031,UA,2519,TN789,328,96,413,38,0,ORD,DFW,1015,5,17,0,None,0,15,21,18,7,17
2019,4,19,2,1803,1164,1534,135,B6,48,TN456,76,112,50,38,7,SFO,ATL,2571,15,14,0,None,0,3,24,6,9,38
2022,4,23,1,838,1970,932,260,AA,134,TN123,419,199,317,0,0,JFK,LAX,1696,1,10,0,None,0,0,0,0,0,0
2020,11,23,3,2048,578,1599,1170,F9,5676,TN123,281,96,334,24,10,ATL,DEN,2096,9,24,0,None,0,12,9,6,5,19
2018,3,28,4,1696,1373,2123,457,F9,2365,TN321,195,127,137,16,3,JFK,SFO,2422,3,4,0,None,0,18,29,24,9,0
2018,7,25,2,243,1593,1666,1928,AA,3510,TN456,397,354,379,0,11,DFW,ATL,1296,4,40,0,None,0,0,0,0,0,0
2018,12,6,5,1910,1747,823,1720,DL,7154,TN123,408,462,253,0,0,LAX,ORD,702,4,45,0,None,0,0,0,0,0,0
2019,8,1,6,1421,2177,1342,1436,F9,4095,TN123,346,322,441,5,0,DFW,DFW,2678,6,26,1,B,0,8,0,0,0,0
2021,2,8,2,1274,2033,1061,2279,NK,2538,TN123,161,279,62,29,19,ATL,DEN,2789,25,11,1,B,0,3,28,13,1,6
2022,4,1,1,878,2058,565,2148,DL,7997,TN123,418,331,247,63,19,SFO,SFO,2571,29,9,0,None,0,3,2,2,2,39
2020,3,19,7,1320,256,1665,146,AA,5985,TN456,99,237,405,0,11,LAX,JFK,548,1,8,0,None,0,0,0,0,0,0
2020,2,11,7,976,1417,1537,716,WN,2472,TN123,89,341,153,8,8,JFK,DEN,1201,18,52,0,None,0,0,0,1,0,0
2019,12,21,2,1523,1442,1163,506,DL,2435,TN789,234,404,352,0,0,JFK,ATL,2667,17,1,0,None,0,0,0,0,0,0
